role,company,location,time,link,Domain,scraped
Data Analyst - Manager,Sutherland,"Chennai, Tamil Nadu, India",4 hours ago,https://in.linkedin.com/jobs/view/data-analyst-manager-at-sutherland-3314358496?refId=cZWLH6lu67dBVYBrsKoaUw%3D%3D&trackingId=w9fvCg2COWufYMQI7Ne8uQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Cloud Engineer,Tata Consultancy Services,"Bengaluru, Karnataka, India",Just now,https://in.linkedin.com/jobs/view/cloud-engineer-at-tata-consultancy-services-3310663341?refId=cZWLH6lu67dBVYBrsKoaUw%3D%3D&trackingId=ES7pYyHzxwYOgh85lTPwDg%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Software Engineer (.Net),PALO IT,India,2 hours ago,https://in.linkedin.com/jobs/view/software-engineer-net-at-palo-it-3309778018?refId=cZWLH6lu67dBVYBrsKoaUw%3D%3D&trackingId=P97XS3ri%2Bbs4qLEVmrTv4A%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Senior Analyst - KYC,Societe Generale Global Solution Centre,"Bengaluru, Karnataka, India",9 hours ago,https://in.linkedin.com/jobs/view/senior-analyst-kyc-at-societe-generale-global-solution-centre-3314044708?refId=cZWLH6lu67dBVYBrsKoaUw%3D%3D&trackingId=g1%2BE5TPg7TQ8mWYrsCydMw%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Informatica Data Quality Analyst,Novartis India,"Hyderabad, Telangana, India",9 hours ago,https://in.linkedin.com/jobs/view/informatica-data-quality-analyst-at-novartis-india-3314026557?refId=sO4jR1YqVkXSmWj%2FgqE1sg%3D%3D&trackingId=UcmeZhBEewmZM%2FIOuD4c6A%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Data management analyst - ANC2,Wells Fargo,"Bengaluru, Karnataka, India",9 hours ago,https://in.linkedin.com/jobs/view/data-management-analyst-anc2-at-wells-fargo-3313410857?refId=sO4jR1YqVkXSmWj%2FgqE1sg%3D%3D&trackingId=ndZiphztOh2G%2BfKayiQT2Q%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Data Consultant,Kagool,"Hyderabad, Telangana, India",16 hours ago,https://in.linkedin.com/jobs/view/data-consultant-at-kagool-3307308039?refId=7HUxBzsaZA6Au82mkMvk%2Fg%3D%3D&trackingId=kT8VXPvscDwoxDDPxmrutA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,DA,14-10-2022_11:16:22
Data Scientist - Fresher Job,GE Digital,"Bengaluru, Karnataka, India",13 hours ago,https://in.linkedin.com/jobs/view/data-scientist-fresher-job-at-ge-digital-3309506083?refId=06uC5gOfjRrry5WjyXm1zw%3D%3D&trackingId=E8jH4k02hadwbSZcjIoMQg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,DS,14-10-2022_11:16:22
Data Scientist,UST,"Bengaluru, Karnataka, India",23 hours ago,https://in.linkedin.com/jobs/view/data-scientist-at-ust-3306848859?refId=06uC5gOfjRrry5WjyXm1zw%3D%3D&trackingId=gxOsSac48NN2eSFmEUq65w%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,DS,14-10-2022_11:16:22
Associate Data Scientist - ML & NLP,Gartner,"Gurgaon, Haryana, India",9 hours ago,https://in.linkedin.com/jobs/view/associate-data-scientist-ml-nlp-at-gartner-3308545971?refId=06uC5gOfjRrry5WjyXm1zw%3D%3D&trackingId=ZRyhALRr5aG%2FgI%2F6mKzwbg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,DS,14-10-2022_11:16:22
BCG X.AI | Data Scientist,Boston Consulting Group (BCG),"Bengaluru, Karnataka, India",15 hours ago,https://in.linkedin.com/jobs/view/bcg-x-ai-data-scientist-at-boston-consulting-group-bcg-3285574118?refId=06uC5gOfjRrry5WjyXm1zw%3D%3D&trackingId=wanGlmpHmfTf9jotsOFITQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,DS,14-10-2022_11:16:22
Data Analyst (ESG),Colt Technology Services,"Gurugram, Haryana, India",21 hours ago,https://in.linkedin.com/jobs/view/data-analyst-esg-at-colt-technology-services-3306865094?refId=06uC5gOfjRrry5WjyXm1zw%3D%3D&trackingId=vsJ%2FivKkwp6jFgmEN6e%2BHQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,DS,14-10-2022_11:16:22
Analyst/Junior Analyst (On Contract),Boston Consulting Group (BCG),"Delhi, Delhi, India",15 hours ago,https://in.linkedin.com/jobs/view/analyst-junior-analyst-on-contract-at-boston-consulting-group-bcg-3285575245?refId=06uC5gOfjRrry5WjyXm1zw%3D%3D&trackingId=enuhktyD93ZMLSclIC7VQw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,DS,14-10-2022_11:16:22
sugar.fit - Data Scientist,sugar.fit,"Bengaluru, Karnataka, India",9 hours ago,https://in.linkedin.com/jobs/view/sugar-fit-data-scientist-at-sugar-fit-3309535945?refId=06uC5gOfjRrry5WjyXm1zw%3D%3D&trackingId=00%2BBnUCEiNVsl6a5Zz1%2FOA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,DS,14-10-2022_11:16:22
Associate Data Scientist,Gartner,"Gurgaon, Haryana, India",14 hours ago,https://in.linkedin.com/jobs/view/associate-data-scientist-at-gartner-3307336016?refId=06uC5gOfjRrry5WjyXm1zw%3D%3D&trackingId=LFKJPH3E9zvhzmdncPUapg%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,DS,14-10-2022_11:16:22
BCG X.AI | Data Scientist,Boston Consulting Group (BCG),"Delhi, Delhi, India",15 hours ago,https://in.linkedin.com/jobs/view/bcg-x-ai-data-scientist-at-boston-consulting-group-bcg-3285573297?refId=06uC5gOfjRrry5WjyXm1zw%3D%3D&trackingId=YRzzX31QWlLJCQp7drM3aA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,DS,14-10-2022_11:16:22
Data Scientist,KAS Services India Pvt Ltd,"Bengaluru, Karnataka, India",11 hours ago,https://in.linkedin.com/jobs/view/data-scientist-at-kas-services-india-pvt-ltd-3226596501?refId=06uC5gOfjRrry5WjyXm1zw%3D%3D&trackingId=%2BOYLdKIQf3WjWKGo%2BpMVbA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,DS,14-10-2022_11:16:22
AI ML Engineer,Siemens Technology India,"Bengaluru, Karnataka, India",20 hours ago,https://in.linkedin.com/jobs/view/ai-ml-engineer-at-siemens-technology-india-3213811465?refId=06uC5gOfjRrry5WjyXm1zw%3D%3D&trackingId=FqKeNy6HT1JE3XdbpnhNwg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,DS,14-10-2022_11:16:22
Consultant - Data Analytics - KPMG - Bangalore,KPMG,"Bengaluru, Karnataka, India",19 hours ago,https://in.linkedin.com/jobs/view/consultant-data-analytics-kpmg-bangalore-at-kpmg-3313106699?refId=06uC5gOfjRrry5WjyXm1zw%3D%3D&trackingId=dFD2OrEyDUY%2BmWdVpt50bQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,DS,14-10-2022_11:16:22
Data Analyst,Shiprocket,"New Delhi, Delhi, India",11 hours ago,https://in.linkedin.com/jobs/view/data-analyst-at-shiprocket-3307995209?refId=06uC5gOfjRrry5WjyXm1zw%3D%3D&trackingId=sg9aX5S5QF%2FgTkb9il6EMg%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,DS,14-10-2022_11:16:22
