role,company,location,time,link,scraped
Fyr Homes - Data Analyst,Pretium Enterprise Operations India Private Limited,"Bengaluru, Karnataka, India",12 hours ago,https://in.linkedin.com/jobs/view/fyr-homes-data-analyst-at-pretium-enterprise-operations-india-private-limited-3252188728?refId=JBmgAp9M%2BYYD90GhAyiIAQ%3D%3D&trackingId=xIfEg97fwyyBcOLljqDcDQ%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
eDiscovery Data Analyst,Giant Eagle GCC,"Bengaluru, Karnataka, India",12 hours ago,https://in.linkedin.com/jobs/view/ediscovery-data-analyst-at-giant-eagle-gcc-3252188009?refId=JBmgAp9M%2BYYD90GhAyiIAQ%3D%3D&trackingId=aVMv2BpXvt8H2vBo6MBieg%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Senior Data Analyst,RENOVISION AUTOMATION SERVICES PVT.LTD,"Chennai, Tamil Nadu, India",1 hour ago,https://in.linkedin.com/jobs/view/senior-data-analyst-at-renovision-automation-services-pvt-ltd-3254817143?refId=JBmgAp9M%2BYYD90GhAyiIAQ%3D%3D&trackingId=wpHuA59gb6W6bm3eLweM2w%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Data Engineer,IVEOND,"Mumbai, Maharashtra, India",6 minutes ago,https://in.linkedin.com/jobs/view/data-engineer-at-iveond-3247808395?refId=JBmgAp9M%2BYYD90GhAyiIAQ%3D%3D&trackingId=vhaEGshpZx4OlNT4Y%2Bh36Q%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Saarthee - Senior Data Analyst - Python/Spark/Minio,Saarthee,"Gurugram, Haryana, India",12 hours ago,https://in.linkedin.com/jobs/view/saarthee-senior-data-analyst-python-spark-minio-at-saarthee-3252189634?refId=JBmgAp9M%2BYYD90GhAyiIAQ%3D%3D&trackingId=VLM%2BZl0LQf%2F3zE2SIYbBSg%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Data Engineer,Pointers Inc.,Greater Hyderabad Area,1 hour ago,https://in.linkedin.com/jobs/view/data-engineer-at-pointers-inc-3247169399?refId=JBmgAp9M%2BYYD90GhAyiIAQ%3D%3D&trackingId=f56ELK9H%2FJktPdoFQb0ysA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
2023 Global Data Analytics - Mumbai,Jobs via eFinancialCareers,"Mumbai, Maharashtra, India",21 hours ago,https://in.linkedin.com/jobs/view/2023-global-data-analytics-mumbai-at-jobs-via-efinancialcareers-3253347342?refId=JBmgAp9M%2BYYD90GhAyiIAQ%3D%3D&trackingId=bHMg21fMa%2BA5xaFWptlfDw%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Saarthee - Senior Analyst/Associate - Data Analytics,Saarthee,"Gurugram, Haryana, India",12 hours ago,https://in.linkedin.com/jobs/view/saarthee-senior-analyst-associate-data-analytics-at-saarthee-3252192279?refId=JBmgAp9M%2BYYD90GhAyiIAQ%3D%3D&trackingId=AjRBT%2BNRO%2F9lId8sq8ntOw%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Data Engineer,Just Wines,"Faridabad, Haryana, India",46 minutes ago,https://in.linkedin.com/jobs/view/data-engineer-at-just-wines-3254816945?refId=JBmgAp9M%2BYYD90GhAyiIAQ%3D%3D&trackingId=GT80xdj3Cs6yjO9n8iQGfQ%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
Order Management & Procurement Data Analyst,Motorola Solutions,"Bengaluru, Karnataka, India",20 hours ago,https://in.linkedin.com/jobs/view/order-management-procurement-data-analyst-at-motorola-solutions-3083708023?refId=JBmgAp9M%2BYYD90GhAyiIAQ%3D%3D&trackingId=HJdnJUcLdwusCl8aq5tHIw%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,05-09-2022_11:19:06
